DEPTH,CALI,DT,NPHI,PHIE,RHOB,SW,litho,VCLC,VDOL,VOL_SHALE,VSAN .V/V
2608.4784,5.6758,60.1716,0.0891,0.0919,2.6796,0.3579,2,0.3502,0.2169,0.0192,0.425
2608.6308,5.7092,60.7556,0.1014,0.1071,2.6718,0.3555,2,0.2514,0.3356,0.0079,0.425
2608.7832,5.7426,63.9738,0.1136,0.1245,2.661,0.3333,2,0.1973,0.239,0.0119,0.425
2608.9356,5.7416,64.14,0.1258,0.1277,2.6503,0.3401,2,0.146,0.372,0.0219,0.425
2609.088,5.7399,63.5313,0.1385,0.1275,2.648,0.3652,1,0.0495,0.5985,0.0332,0.425
2609.2404,5.7552,61.895,0.1568,0.1226,2.652,0.4067,1,0.0017,0.8156,0.0456,0.425
2609.3928,5.7516,62.4143,0.1623,0.1154,2.6559,0.4419,1,0.0,0.8025,0.07,0.425
2609.5452,5.7492,62.4629,0.1644,0.1109,2.6568,0.4617,1,0.0,0.7914,0.0833,0.425
2609.6976,5.7475,61.4811,0.1664,0.1119,2.6504,0.368,1,0.0,0.7953,0.0792,0.425
2609.85,5.7455,61.9579,0.1684,0.1084,2.6439,0.2068,1,0.0,0.7787,0.0963,0.425
2610.0024,5.7425,64.2093,0.1608,0.1116,2.6374,0.1802,1,0.0005,0.7702,0.1002,0.425
2610.1548,5.7413,64.9053,0.1608,0.1251,2.6216,0.4042,1,0.0287,0.7397,0.0764,0.425
2610.3072,5.7743,66.078,0.1613,0.143,2.6059,0.4142,1,0.0533,0.6369,0.0491,0.425
2610.4596,5.7731,68.5917,0.1633,0.1538,2.5902,0.41,2,0.1099,0.4426,0.0485,0.425
2610.612,5.7714,68.6205,0.1654,0.1521,2.6002,0.4248,2,0.0555,0.4794,0.0555,0.425
2610.7644,5.7686,67.4346,0.1674,0.1422,2.6196,0.4577,1,0.0026,0.5959,0.0666,0.425
2610.9168,5.7308,64.6272,0.1653,0.1256,2.639,0.5248,1,0.0,0.754,0.0721,0.425
2611.0692,5.6786,63.2335,0.1562,0.119,2.651,0.5754,1,0.0,0.7827,0.0648,0.425
2611.2216,5.7265,61.5265,0.147,0.1172,2.6542,0.6173,1,0.0,0.8267,0.0469,0.425
2611.374,5.7248,61.1741,0.1418,0.1207,2.6574,0.6314,1,0.0,0.816,0.0302,0.425
2611.5264,5.7231,62.2707,0.1377,0.1341,2.662,0.5993,1,0.0,0.6721,0.0039,0.425
2611.6788,5.7211,59.6422,0.1336,0.1222,2.6735,0.6172,1,0.0,0.8136,0.0024,0.425
2611.8312,5.7187,59.8368,0.1296,0.1152,2.685,0.5921,1,0.0,0.7664,0.0134,0.425
2611.9836,5.7164,59.8863,0.1255,0.1079,2.6965,0.5604,1,0.0,0.7262,0.0247,0.425
2612.136,5.6803,59.2276,0.1215,0.1004,2.6978,0.5632,1,0.0,0.7637,0.0332,0.425
